Fecha,TRM,TRM_MA_30,TRM_MA_90
1991-11-27,693.32,,
1991-11-28,693.99,,
1991-11-29,694.7,,
1991-11-30,694.7,,
1991-12-01,643.42,,
1991-12-02,643.42,,
1991-12-03,639.22,,
1991-12-04,635.7,,
1991-12-05,631.51,,
1991-12-06,627.16,,
1991-12-07,638.06,,
1991-12-08,638.06,,
1991-12-09,638.06,,
1991-12-10,622.92,,
1991-12-11,627.46,,
1991-12-12,633.09,,
1991-12-13,632.35,,
1991-12-14,630.91,,
1991-12-15,630.91,,
1991-12-16,630.91,,
1991-12-17,626.23,,
1991-12-18,626.52,,
1991-12-19,633.35,,
1991-12-20,621.71,,
1991-12-21,620.62,,
1991-12-22,620.62,,
1991-12-23,620.62,,
1991-12-24,622.95,,
1991-12-25,622.95,,
1991-12-26,622.95,638.6129999999999,
1991-12-27,631.63,636.5566666666667,
1991-12-28,632.37,634.5026666666666,
1991-12-29,632.37,632.425,
1991-12-30,632.37,630.3473333333334,
1991-12-31,632.37,629.9789999999999,
1992-01-01,632.37,629.6106666666667,
1992-01-02,638.61,629.5903333333333,
1992-01-03,632.58,629.4863333333334,
1992-01-04,638.07,629.705,
1992-01-05,638.07,630.0686666666667,
1992-01-06,638.07,630.069,
1992-01-07,638.07,630.0693333333334,
1992-01-08,638.17,630.0730000000001,
1992-01-09,638.61,630.5959999999999,
1992-01-10,637.86,630.9426666666666,
1992-01-11,645.04,631.341,
1992-01-12,645.04,631.764,
1992-01-13,645.04,632.235,
1992-01-14,659.74,633.196,
1992-01-15,657.49,634.0820000000001,
1992-01-16,653.45,634.9893333333333,
1992-01-17,652.91,635.869,
1992-01-18,645.35,636.269,
1992-01-19,645.35,637.057,
1992-01-20,645.35,637.8813333333334,
1992-01-21,645.97,638.7263333333334,
1992-01-22,647.04,639.607,
1992-01-23,647.01,640.409,
1992-01-24,647.01,641.211,
1992-01-25,644.83,641.9403333333333,
1992-01-26,644.83,642.3803333333333,
1992-01-27,644.83,642.7956666666668,
1992-01-28,645.53,643.2343333333334,
1992-01-29,645.2,643.662,
1992-01-30,644.04,644.0509999999999,
1992-01-31,644.27,644.4476666666667,
1992-02-01,640.52,644.5113333333334,
1992-02-02,640.52,644.776,
1992-02-03,640.52,644.8576666666667,
1992-02-04,640.52,644.9393333333334,
1992-02-05,638.01,644.9373333333333,
1992-02-06,637.65,644.9233333333334,
1992-02-07,636.9,644.8809999999999,
1992-02-08,635.34,644.772,
1992-02-09,635.34,644.688,
1992-02-10,635.34,644.3646666666666,
1992-02-11,634.74,644.0213333333334,
1992-02-12,634.59,643.6730000000001,
1992-02-13,634.67,642.8373333333333,
1992-02-14,635.6,642.1076666666667,
1992-02-15,634.74,641.484,
1992-02-16,634.74,640.8783333333334,
1992-02-17,634.74,640.5246666666666,
1992-02-18,635.66,640.2016666666666,
1992-02-19,635.21,639.8636666666666,
1992-02-20,634.93,639.4956666666668,
1992-02-21,633.31,639.038,
1992-02-22,633.03,638.572,
1992-02-23,633.03,638.106,
1992-02-24,633.03,637.7126666666666,639.422
1992-02-25,633.55,637.3366666666666,638.7578888888888
1992-02-26,633.74,636.967,638.0884444444445
1992-02-27,634.06,636.5846666666667,637.4146666666667
1992-02-28,633.91,636.2083333333334,636.7392222222222
1992-02-29,636.54,635.9583333333334,636.6627777777778
1992-03-01,636.54,635.7006666666667,636.5863333333333
1992-03-02,636.54,635.568,636.5565555555556
1992-03-03,640.95,635.5823333333334,636.6148888888888
1992-03-04,636.05,635.4333333333333,636.6653333333333
1992-03-05,635.86,635.278,636.7620000000001
1992-03-06,636.73,635.2353333333334,636.7472222222223
1992-03-07,636.22,635.1876666666666,636.7267777777778
1992-03-08,636.22,635.1650000000001,636.7063333333333
1992-03-09,636.22,635.1943333333334,636.8541111111111
1992-03-10,635.88,635.2123333333334,636.9476666666667
1992-03-11,639.78,635.3603333333334,637.0219999999999
1992-03-12,639.38,635.515,637.1001111111111
1992-03-13,641.29,635.7383333333332,637.2154444444444
1992-03-14,642.0,635.9826666666667,637.3386666666667
1992-03-15,642.0,636.1959999999999,637.4618888888889
1992-03-16,642.0,636.438,637.6371111111112
1992-03-17,644.13,636.751,637.8327777777778
1992-03-18,643.83,637.0540000000001,637.9492222222223
1992-03-19,642.59,637.2850000000001,638.1812222222222
1992-03-20,641.53,637.4956666666666,638.4135555555555
1992-03-21,640.37,637.6769999999999,638.633
1992-03-22,640.37,637.9123333333333,638.8524444444445
1992-03-23,640.37,638.1569999999999,639.046
1992-03-24,640.37,638.4016666666666,639.2395555555555
1992-03-25,642.0,638.7006666666667,639.4512222222222
1992-03-26,641.81,638.9760000000001,639.5643333333334
1992-03-27,641.22,639.2253333333333,639.6626666666666
1992-03-28,647.24,639.6646666666667,639.8278888888889
1992-03-29,647.24,640.1089999999999,639.9931111111111
1992-03-30,647.24,640.4656666666667,640.1583333333333
1992-03-31,641.59,640.634,640.2607777777778
1992-04-01,641.98,640.8153333333333,640.2982222222222
1992-04-02,645.14,640.9549999999999,640.4377777777778
1992-04-03,644.77,641.2456666666666,640.5122222222222
1992-04-04,643.11,641.4873333333333,640.5682222222222
1992-04-05,643.11,641.7,640.6242222222222
1992-04-06,643.11,641.9296666666667,640.6802222222221
1992-04-07,645.73,642.2466666666667,640.7642222222222
1992-04-08,643.98,642.5053333333333,640.8238888888889
1992-04-09,644.61,642.7963333333333,640.8988888888888
1992-04-10,646.5,643.0203333333334,640.9151111111112
1992-04-11,647.28,643.2836666666666,640.94
1992-04-12,647.28,643.4833333333333,640.9648888888889
1992-04-13,647.28,643.6593333333334,640.8264444444444
1992-04-14,649.48,643.9086666666667,640.7374444444443
1992-04-15,655.66,644.364,640.7620000000001
1992-04-16,657.97,644.8253333333334,640.8182222222222
1992-04-17,657.97,645.2966666666666,640.9584444444445
1992-04-18,657.97,645.8093333333333,641.0986666666666
1992-04-19,657.97,646.3573333333334,641.2388888888889
1992-04-20,657.97,646.944,641.3722222222223
1992-04-21,655.32,647.4423333333333,641.4642222222222
1992-04-22,652.57,647.849,641.526
1992-04-23,651.48,648.2193333333333,641.5756666666667
1992-04-24,650.24,648.494,641.6357777777778
1992-04-25,651.36,648.8123333333333,641.7083333333334
1992-04-26,651.36,649.1503333333334,641.7808888888889
1992-04-27,651.36,649.2876666666667,641.8456666666667
1992-04-28,650.31,649.39,641.9024444444444
1992-04-29,651.95,649.547,641.9903333333334
1992-04-30,653.83,649.955,642.0965555555555
1992-05-01,653.58,650.3416666666667,642.2416666666667
1992-05-02,653.58,650.623,642.3867777777778
1992-05-03,653.58,650.9166666666666,642.531888888889
1992-05-04,653.58,651.2656666666667,642.677
1992-05-05,653.1,651.5986666666666,642.8446666666667
1992-05-06,653.7,651.9516666666666,643.023
1992-05-07,654.74,652.2520000000001,643.2212222222222
1992-05-08,656.4,652.6659999999999,643.4552222222222
1992-05-09,657.91,653.1093333333333,643.706
1992-05-10,657.91,653.4896666666666,643.9567777777778
1992-05-11,657.91,653.8439999999999,644.2142222222222
1992-05-12,658.52,654.2186666666668,644.4801111111111
1992-05-13,660.57,654.6616666666666,644.7678888888889
1992-05-14,660.88,655.0416666666666,645.0487777777778
1992-05-15,663.43,655.3006666666666,645.3675555555554
1992-05-16,663.58,655.4876666666665,645.688
1992-05-17,663.58,655.6746666666667,646.0084444444444
1992-05-18,663.58,655.8616666666666,646.3186666666667
